handle,ID,category,party
@DennisDMZ,113758100,1,0
@patsajak,1632772304,1,0
@KristySwansonXO,45033456,1,0
@ksorbs,33608041,1,0
@dbongino,232901331,1,0
@iheartmindy,317385247,1,0
@LennyDykstra,7.20373E+17,1,0
@RealEricCarmen,85498982,1,0
@hodgetwins,18584875,1,0
@TimRunsHisMouth,34367582,1,0
@johncardillo,27995424,1,0
@RobertJohnDavi,80082384,1,0
@candacecbure,33694840,1,0
@MelissaJoanHart,64496398,1,0
@jonvoight,7.59081E+17,1,0
@ScottBaio,82447359,1,0
@genesimmons,14401698,1,0
@staceydash,63291287,1,0
@TedNugent,17879692,1,0
@PaulONeillYES,521503652,1,0
@KidRock,211918431,1,0
@RobertJohnDavi,80082384,1,0
@LorettaLynn,148841925,1,0
@danawhite,21586418,1,0
@MikeTyson,156132825,1,0
@StephenBaldwin7,36734275,1,0
@Teresa_Giudice,87016990,1,0
@THEGaryBusey,114885858,1,0
@dennisrodman,34616510,1,0
@LouFerrigno,79242290,1,0
@HulkHogan,179932936,1,0
@terrellowens,23967578,1,0
@williebosshog,254189974,1,0
@AntonioSabatoJr,27915028,1,0
@aubrey_huff,2410068528,1,0
@ofctimallen,35873420,1,0
@candacecbure,33694840,1,0
@andrewklavan,107210947,1,0
@DebraMessing,499073990,1,0
@Beyonce,,1,1
@ChrisEvans,,1,1
@tomhanks,,1,1
@amyschumer,,1,1
@TheMandyMoore,,1,1
@ImAngelaBassett,,1,1
@johnlegend,,1,1
@chrissyteigen,,1,1
@aliciakeys,,1,1
@DebraMessing,,1,1
@EvaLongoria,,1,1
@MarkRuffalo,,1,1
@AmericaFerrera,,1,1
@katyperry,,1,1
@ReeseW,,1,1
@BusyPhilipps,,1,1
@LeoDiCaprio,,1,1
@iamwandasykes,,1,1
@taylorswift13,,1,1
@Oprah,,1,1
@abbijacobson,,1,1
@kellyclarkson,,1,1
@jackblack,,1,1
@JessicaBiel,,1,1
@Madonna,,1,1
@NancyGrace,,1,1
@tmorello,,1,1
@SusanSarandon,,1,1
@sharonstone,,1,1
@serjtankian,,1,1
@SamSeder,,1,1
@UncleRUSH,,1,1
@robreiner,,1,1
@RobLowe,,1,1
@RitaWilson,,1,1
@Richard_Schiff,,1,1
@MsPattiPatti,,1,1
@OMAROSA,,1,1
@RealMickFoley,,1,1
@MMFlint,,1,1
@MelissaJoanHart,,1,1
@MEGBusfield,,1,1
@margaretcho,,1,1
@lizzwinstead,,1,1
@TheLewisBlack,,1,1
@kevinbacon,,1,1
@JohnLeguizamo,,1,1
@JLo,,1,1
@johncusack,,1,1
@FoxNews,,2,0
@BreitbartNews,,2,0
@theblaze,,2,0
@seanhannity,,2,0
@HouseGOP,,2,0
@SenateGOP,,2,0
@newsmax,,2,0
@TheDailyShow,,2,1
@guardian,,2,1
@nytimes,,2,1
@BuzzFeedNews,,2,1
@MSNBC,,2,1
@CNN,,2,1
@NPR,,2,1
@NBCNews,,2,1
@NewsHour,,2,1
@washingtonpost,,2,1
@HuffPost,,2,1
